image_name,target
ISIC_0052060,0.005954469554126263
ISIC_0052349,0.008328617550432682
ISIC_0058510,0.0036652798298746347
ISIC_0073313,0.0037894067354500294
ISIC_0073502,0.06312619149684906
ISIC_0074618,0.012315911240875721
ISIC_0076801,0.01570887863636017
ISIC_0077586,0.012534117326140404
ISIC_0082004,0.013387659564614296
ISIC_0082785,0.020698679611086845
ISIC_0085332,0.004601243883371353
ISIC_0087243,0.00549561670050025
ISIC_0088167,0.005422413814812899
ISIC_0089356,0.0040107592940330505
ISIC_0090283,0.007240815553814173
ISIC_0092481,0.007362819742411375
ISIC_0095455,0.01599876768887043
ISIC_0095790,0.004285988863557577
ISIC_0097719,0.02071188949048519
ISIC_0099348,0.06956791877746582
ISIC_0101040,0.00925486721098423
ISIC_0101383,0.02342659793794155
ISIC_0105104,0.011248323135077953
ISIC_0108196,0.01485220342874527
ISIC_0112420,0.13220946490764618
ISIC_0114232,0.0035728795919567347
ISIC_0115798,0.00647122273221612
ISIC_0116844,0.003692363854497671
ISIC_0126432,0.008201842196285725
ISIC_0131485,0.004258026368916035
ISIC_0131912,0.004363864194601774
ISIC_0131978,0.0035302971955388784
ISIC_0139322,0.008078155107796192
ISIC_0142066,0.009171199053525925
ISIC_0143109,0.02633170410990715
ISIC_0148210,0.014977676793932915
ISIC_0148937,0.01605251617729664
ISIC_0150213,0.008007729426026344
ISIC_0152553,0.004304063972085714
ISIC_0153127,0.016811270266771317
ISIC_0154289,0.013898001983761787
ISIC_0155813,0.09488226473331451
ISIC_0155983,0.15746912360191345
ISIC_0157088,0.011584363877773285
ISIC_0158761,0.008036281913518906
ISIC_0161963,0.01890699937939644
ISIC_0165178,0.04192652180790901
ISIC_0165230,0.037111494690179825
ISIC_0165615,0.004594268277287483
ISIC_0165617,0.054012443870306015
ISIC_0165674,0.003834154224023223
ISIC_0165928,0.02168254926800728
ISIC_0166561,0.004811222665011883
ISIC_0168125,0.06759198755025864
ISIC_0169378,0.013439459726214409
ISIC_0169575,0.006078610196709633
ISIC_0169906,0.10759885609149933
ISIC_0171865,0.1793891042470932
ISIC_0172678,0.0041293916292488575
ISIC_0174800,0.013741718605160713
ISIC_0175014,0.008620665408670902
